正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
sunrise,n. 日出；黎明,待补充,待补充,高考英语词汇
sunset,n. 日落，傍晚,待补充,待补充,高考英语词汇
super,"n. 特级品，特大号；临时雇员
adj. 特级的；极好的",待补充,待补充,高考英语词汇
superb,adj. 极好的；华丽的；宏伟的,待补充,待补充,高考英语词汇
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的",待补充,待补充,高考英语词汇
supermarket,n. 超级市场；自助售货商店,待补充,待补充,高考英语词汇
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导",待补充,待补充,高考英语词汇
supper,n. 晚餐，晚饭；夜宵,待补充,待补充,高考英语词汇
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代",待补充,待补充,高考英语词汇
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养",待补充,待补充,高考英语词汇
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想",待补充,待补充,高考英语词汇
sure,"adj. 确信的；可靠的；必定的
adv. 当然；的确",待补充,待补充,高考英语词汇
surely,adv. 当然；无疑；坚定地；稳当地,待补充,待补充,高考英语词汇
surf,"vi. 作冲浪运动
vt. 在…冲浪
n. 海浪，拍岸浪",待补充,待补充,高考英语词汇
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面",待补充,待补充,高考英语词汇
surgeon,n. 外科医生,待补充,待补充,高考英语词汇
surgery,n. 外科；外科手术；手术室；诊疗室,待补充,待补充,高考英语词汇
surname,"n. 姓，姓氏；绰号，别名
vt. 给…起别名；给…姓氏",待补充,待补充,高考英语词汇
surprise,"n. 惊奇，诧异；突然袭击
adj. 令人惊讶的
vt. 使惊奇；奇袭",待补充,待补充,高考英语词汇
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的",待补充,待补充,高考英语词汇
surrounding,"n. 环境，周围的事物
adj. 周围的，附近的",待补充,待补充,高考英语词汇
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长",待补充,待补充,高考英语词汇
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想",待补充,待补充,高考英语词汇
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛",待补充,待补充,高考英语词汇
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下",待补充,待补充,高考英语词汇
swear,"n. 宣誓；诅咒
vt. 发誓；咒骂
vi. 发誓，宣誓；诅咒",待补充,待补充,高考英语词汇
sweat,"n. 汗；水珠；焦急；苦差使
vt. 使出汗；流出；使干苦活；剥削；藉出汗减轻；焦急地期待
vi. 出汗；辛苦工作；懊恼；结水珠",待补充,待补充,高考英语词汇
sweater,n. 毛线衣，运动衫；大量出汗的人，发汗剂,待补充,待补充,高考英语词汇
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击",待补充,待补充,高考英语词汇
sweet,"n. 糖果；乐趣；芳香；宝贝
adj. 甜的；悦耳的；芳香的；亲切的
（俚）酷毙了",待补充,待补充,高考英语词汇
