正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
search,"n. 搜寻；探究，查究
vt. 搜索；搜寻；调查；搜查；探求
vi. 搜寻；调查；探求",待补充,待补充,高考英语词汇
seaside,"n. 海边；海滨
adj. 海边的；海滨的",待补充,待补充,高考英语词汇
season,"n. 时期；季节；赛季
vt. 给…调味；使适应
vi. 变得成熟；变干燥",待补充,待补充,高考英语词汇
seat,"n. 座位；所在地；职位
vt. 使…坐下；可容纳…的；使就职",待补充,待补充,高考英语词汇
second,"num. 第二
n. 秒；第二名；瞬间；二等品
adj. 第二的；次要的；附加的
vt. 支持
adv. 第二；其次；居第二位 
 num. 第二
n. 秒；第二名；瞬间；二等品
adj. 第二的；次要的；附加的
vt. 支持
adv. 第二；其次；居第二位",待补充,待补充,高考英语词汇
secondary,"n. 副手；代理人
adj. 第二的；中等的；次要的；中级的",待补充,待补充,高考英语词汇
secondhand,"adj. 二手的；旧的；间接获得的；做旧货生意的
adv. 间接地；间接听来；以旧货",待补充,待补充,高考英语词汇
secret,"n. 秘密；秘诀；机密
adj. 秘密的；机密的",待补充,待补充,高考英语词汇
secretary,n. 秘书；书记；部长；大臣,待补充,待补充,高考英语词汇
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分",待补充,待补充,高考英语词汇
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作",待补充,待补充,高考英语词汇
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的",待补充,待补充,高考英语词汇
see,"vi. 看；看见；领会
vt. 看见；理解；领会",待补充,待补充,高考英语词汇
seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实",待补充,待补充,高考英语词汇
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索",待补充,待补充,高考英语词汇
seem,vi. 似乎；像是；装作,待补充,待补充,高考英语词汇
seize,"vt. 抓住；夺取；理解；逮捕
vi. 抓住；利用；（机器）卡住",待补充,待补充,高考英语词汇
seldom,adv. 很少，不常,待补充,待补充,高考英语词汇
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选",待补充,待补充,高考英语词汇
selfish,adj. 自私的；利己主义的,待补充,待补充,高考英语词汇
sell,"n. 销售；失望；推销术
vt. 销售；推销；出卖；欺骗
vi. 卖；出售；受欢迎；有销路",待补充,待补充,高考英语词汇
semester,n. 学期；半年,待补充,待补充,高考英语词汇
send,"n. 上升运动
vi. 派人；寄信
vt. 发送，寄；派遣；使进入；发射",待补充,待补充,高考英语词汇
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的",待补充,待补充,高考英语词汇
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测",待补充,待补充,高考英语词汇
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;",待补充,待补充,高考英语词汇
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人",待补充,待补充,高考英语词汇
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判",待补充,待补充,高考英语词汇
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居",待补充,待补充,高考英语词汇
series,n. 系列，连续； 串联；级数；丛书,待补充,待补充,高考英语词汇
