正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
soon,adv. 快；不久，一会儿；立刻；宁愿,待补充,待补充,高考英语词汇
sore,"n. 溃疡，痛处；恨事，伤心事
adj. 疼痛的，痛心的；剧烈的，极度的；恼火的，发怒的；厉害的，迫切的",待补充,待补充,高考英语词汇
sorrow,"n. 悲伤；懊悔；伤心事
vt. 为…悲痛
vi. 懊悔；遗憾；感到悲伤",待补充,待补充,高考英语词汇
sorry,"adj. 遗憾的；对不起的，抱歉的
int. 对不起，抱歉（表示委婉的拒绝等）",待补充,待补充,高考英语词汇
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往",待补充,待补充,高考英语词汇
soul,"n. 灵魂；心灵；精神；鬼魂
adj. 美国黑人文化的",待补充,待补充,高考英语词汇
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地",待补充,待补充,高考英语词汇
soup,"n. 汤，羹；马力
vt. 加速；增加马力",待补充,待补充,高考英语词汇
source,n. 来源；水源；原始资料,待补充,待补充,高考英语词汇
south,"n. 南方，南边；南部
adj. 南的，南方的
adv. 在南方，向南方",待补充,待补充,高考英语词汇
southeast,"n. 东南；东南地区
adj. 东南的；来自东南的
adv. 来自东南",待补充,待补充,高考英语词汇
southern,"n. 南方人
adj. 南的；南方的",待补充,待补充,高考英语词汇
southwest,"n. 西南方
adj. 西南的
adv. 往西南；来自西南",待补充,待补充,高考英语词汇
sow,"n. 母猪
vt. 播种；散布；使密布
vi. 播种",待补充,待补充,高考英语词汇
soybean,n. 大豆；黄豆,待补充,待补充,高考英语词汇
space,"n. 空间；太空；距离
vt. 隔开
vi. 留间隔",待补充,待补充,高考英语词汇
spacecraft,n.  宇宙飞船，航天器,待补充,待补充,高考英语词汇
spaceship,n.  宇宙飞船,待补充,待补充,高考英语词汇
spade,"n. 铁锹，铲子
vt. 铲；把……弄实抹平
vi. 铲",待补充,待补充,高考英语词汇
spare,"n. 剩余；备用零件
vt. 节约，吝惜；饶恕；分出，分让
adj. 多余的；瘦的；少量的
vi. 饶恕，宽恕；节约",待补充,待补充,高考英语词汇
speak,"vi. 说话；演讲；表明；陈述
vt. 讲话；发言；讲演",待补充,待补充,高考英语词汇
speaker,n. 演讲者；扬声器；说话者；说某种语言的人,待补充,待补充,高考英语词汇
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的",待补充,待补充,高考英语词汇
specialized,"adj. 专业的；专门的
v. 专攻（specialize的过去分词）；使…专门化；详细说明",待补充,待补充,高考英语词汇
species,"n.  物种；种类
adj. 物种上的",待补充,待补充,高考英语词汇
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的",待补充,待补充,高考英语词汇
spectator,n. 观众；旁观者,待补充,待补充,高考英语词汇
speech,n. 演讲；讲话； 语音；演说,待补充,待补充,高考英语词汇
speed,"n. 速度，速率；迅速，快速；昌盛，繁荣
vt. 加快…的速度；使成功，使繁荣
vi. 超速，加速；加速，迅速前行；兴隆",待补充,待补充,高考英语词汇
spell,"n. 符咒；一段时间；魅力
vi. 拼字；轮替
vt. 拼，拼写；意味着；招致；拼成；迷住；轮值",待补充,待补充,高考英语词汇
