正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
her,pron. 她（she的宾格）；她的（she的所有格）；她（指某个国家；一艘船）,待补充,待补充,高考英语词汇
here,"n. 这里
adv. 在这里；此时
int. 嘿！；喂！",待补充,待补充,高考英语词汇
hero,n. 英雄；男主角，男主人公,待补充,待补充,高考英语词汇
hers,pron. 她的（所有格）,待补充,待补充,高考英语词汇
herself,pron. 她自己（she的反身代词）；她亲自,待补充,待补充,高考英语词汇
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿",待补充,待补充,高考英语词汇
hesitation,n. 犹豫,待补充,待补充,高考英语词汇
hey,"n. 干草（等于hay）
int. 喂！（引起注意等）；你好！（表示问候）",待补充,待补充,高考英语词汇
hi,int. 嗨！（表示问候或用以唤起注意）,待补充,待补充,高考英语词汇
hide,"n. 躲藏；兽皮；躲藏处
vt. 隐藏；隐瞒；鞭打
vi. 隐藏",待补充,待补充,高考英语词汇
high,"n. 高水平；天空；由麻醉品引起的快感；高压地带
adj. 高的；高级的；崇高的；高音调的
adv. 高；奢侈地",待补充,待补充,高考英语词汇
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮",待补充,待补充,高考英语词汇
highly,adv. 高度地；非常；非常赞许地,待补充,待补充,高考英语词汇
high-rise,"n. 高楼；大厦
adj. 高楼的；超高层的",待补充,待补充,高考英语词汇
highway,n. 公路，大路；捷径,待补充,待补充,高考英语词汇
hijack,"n. 劫持；威逼；敲诈
vt. 抢劫；揩油
vi. 拦路抢劫",待补充,待补充,高考英语词汇
hill,n. 小山；丘陵；斜坡；山冈,待补充,待补充,高考英语词汇
him,pron. 他（宾格）,待补充,待补充,高考英语词汇
himself,pron. 他自己；他亲自，他本人,待补充,待补充,高考英语词汇
hint,"n. 暗示；线索
vt. 暗示；示意
vi. 示意",待补充,待补充,高考英语词汇
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇",待补充,待补充,高考英语词汇
his,pron. 他的,待补充,待补充,高考英语词汇
historic,adj. 有历史意义的；历史上著名的,待补充,待补充,高考英语词汇
historical,adj. 历史的；史学的；基于史实的,待补充,待补充,高考英语词汇
history,n. 历史，历史学；历史记录；来历,待补充,待补充,高考英语词汇
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上",待补充,待补充,高考英语词汇
hitech,"n., adj.  = high tech",待补充,待补充,高考英语词汇
hobby,n. 嗜好；业余爱好,待补充,待补充,高考英语词汇
hold,"n. 控制；保留
vi. 支持；有效；持续
vt. 持有；拥有；保存；拘留；约束或控制
又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。",待补充,待补充,高考英语词汇
hole,"n. 洞，孔；洞穴，穴；突破口
vt. 凿洞
vi. 凿洞，穿孔；（高尔夫球等）进洞",待补充,待补充,高考英语词汇
