正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
dirty,"adj. 下流的，卑鄙的；肮脏的；恶劣的；暗淡的
vt. 弄脏
vi. 变脏",待补充,待补充,高考英语词汇
disabled,"adj. 残废的，有缺陷的
v. 使…失去能力（disable的过去分词）",待补充,待补充,高考英语词汇
disadvantage,n. 缺点；不利条件；损失,待补充,待补充,高考英语词汇
disagreeable,adj. 不愉快的；厌恶的；不为人喜的；难相处的；脾气坏的,待补充,待补充,高考英语词汇
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失",待补充,待补充,高考英语词汇
disappoint,vt. 使失望,待补充,待补充,高考英语词汇
disappointment,n. 失望；沮丧,待补充,待补充,高考英语词汇
disapproval,n. 不赞成；不喜欢,待补充,待补充,高考英语词汇
disapprove,"vi. 不赞成；不喜欢
vt. 不赞成；不同意",待补充,待补充,高考英语词汇
disaster,n. 灾难，灾祸；不幸,待补充,待补充,高考英语词汇
disc,"n. 圆盘， 唱片（等于disk）
vt. 灌唱片",待补充,待补充,高考英语词汇
disk,n.  磁盘，磁碟片；圆盘，盘状物；唱片,待补充,待补充,高考英语词汇
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒",待补充,待补充,高考英语词汇
disco,n. 迪斯科舞厅；的士高,待补充,待补充,高考英语词汇
disconcert,vt. 使仓皇失措；使困惑；破坏,待补充,待补充,高考英语词汇
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品",待补充,待补充,高考英语词汇
discourage,vt. 阻止；使气馁,待补充,待补充,高考英语词汇
discover,"vi. 发现
vt. 发现；发觉",待补充,待补充,高考英语词汇
discovery,n. 发现，发觉；被发现的事物,待补充,待补充,高考英语词汇
discuss,vt. 讨论；论述，辩论,待补充,待补充,高考英语词汇
discussion,n. 讨论，议论,待补充,待补充,高考英语词汇
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病",待补充,待补充,高考英语词汇
dish,"n. 盘；餐具；一盘食物；外貌有吸引力的人
vt. 盛于碟盘中；分发；使某人的希望破灭；说（某人）的闲话
vi. 成碟状；闲谈",待补充,待补充,高考英语词汇
dishwasher,n. 洗碗工；洗碟机,待补充,待补充,高考英语词汇
dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶",待补充,待补充,高考英语词汇
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散",待补充,待补充,高考英语词汇
disobey,v. 违反；不服从,待补充,待补充,高考英语词汇
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱",待补充,待补充,高考英语词汇
disorderly,"adj. 混乱的，无秩序的；骚乱的；无法无天的
adv. 杂乱地，无秩序地",待补充,待补充,高考英语词汇
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为",待补充,待补充,高考英语词汇
