正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
star,"n. 星，恒星；明星；星形物
adj. 明星的，主角的；星形的
vt. 用星号标于；由…主演，由…担任主角
vi. 担任主角",待补充,待补充,高考英语词汇
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼",待补充,待补充,高考英语词汇
start,"n. 开始；起点
vt. 开始；启动
vi. 出发",待补充,待补充,高考英语词汇
starvation,n. 饿死；挨饿；绝食,待补充,待补充,高考英语词汇
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿",待补充,待补充,高考英语词汇
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述",待补充,待补充,高考英语词汇
statement,n. 声明；陈述，叙述；报表，清单,待补充,待补充,高考英语词汇
station,"n. 车站；驻地；地位；身份
vt. 配置；安置；驻扎",待补充,待补充,高考英语词汇
stationery,n. 文具；信纸,待补充,待补充,高考英语词汇
statue,"n. 雕像，塑像
vt. 以雕像装饰",待补充,待补充,高考英语词汇
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制",待补充,待补充,高考英语词汇
steady,"n. 关系固定的情侣；固定支架
adj. 稳定的；不变的；沉着的
vt. 使稳定；稳固；使坚定
adv. 稳定地；稳固地
vi. 稳固",待补充,待补充,高考英语词汇
steak,n. 牛排；肉排；鱼排,待补充,待补充,高考英语词汇
steal,"n. 偷窃；便宜货；偷垒；断球
vt. 剽窃；偷偷地做；偷窃
vi. 窃取；偷偷地行动；偷垒",待补充,待补充,高考英语词汇
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽",待补充,待补充,高考英语词汇
steamship,n. 轮船；汽船,待补充,待补充,高考英语词汇
steel,"n. 钢铁；钢制品；坚固
adj. 钢制的；钢铁业的；坚强的
vt. 钢化；使冷酷",待补充,待补充,高考英语词汇
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸",待补充,待补充,高考英语词汇
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛",待补充,待补充,高考英语词汇
step,"n. 步，脚步；步骤；步伐；梯级
vt. 走，迈步
vi. 踏，踩；走",待补充,待补充,高考英语词汇
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴",待补充,待补充,高考英语词汇
still,"conj. 仍然；但是；尽管如此
n. 寂静；剧照；蒸馏室
adj. 静止的，不动的；寂静的，平静的；不起泡的
adv. 仍然；更；静止地
vt. 蒸馏；使…静止；使…平静下来
vi. 静止；平静；蒸馏",待补充,待补充,高考英语词汇
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励",待补充,待补充,高考英语词汇
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起",待补充,待补充,高考英语词汇
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽",待补充,待补充,高考英语词汇
stocking,n. 长袜,待补充,待补充,高考英语词汇
stomach,"n. 胃；腹部；胃口
vt. 忍受；吃下
vi. 忍受",待补充,待补充,高考英语词汇
stone,"n. 石头；结石； 宝石
adj. 石的，石制的
vt. 向扔石块；用石头铺",待补充,待补充,高考英语词汇
stop,"n. 停止；车站；障碍；逗留
vi. 停止；中止；逗留；被塞住
vt. 停止；堵塞；断绝",待补充,待补充,高考英语词汇
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存",待补充,待补充,高考英语词汇
