正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
skier,n. 滑雪的人,待补充,待补充,高考英语词汇
skill,n. 技能，技巧；本领，技术,待补充,待补充,高考英语词汇
skillful,adj. 熟练的；巧妙的,待补充,待补充,高考英语词汇
skim,"n. 撇；撇去的东西；表层物；瞒报所得的收入
adj. 脱脂的；撇去浮沫的；表层的
vt. 略读；撇去…的浮物；从…表面飞掠而过；去除；（为逃税而）隐瞒（部分收入）
vi. 浏览；掠过",待补充,待补充,高考英语词汇
skin,"n. 皮肤；外皮
vt. 剥皮
vi. 愈合；长皮",待补充,待补充,高考英语词汇
skirt,"n. 裙子
vt. 绕过，回避；位于…边缘
vi. 沿边走，绕开；环绕",待补充,待补充,高考英语词汇
sky,"n. 天空；顶点
vt. 把…投向空中；把…挂得过高
vi. 踢或击高空球；把桨叶翘得过高；飞涨",待补充,待补充,高考英语词汇
slang,"n. 俚语；行话
adj. 俚语的
vt. 用俚语说
vi. 用粗话骂",待补充,待补充,高考英语词汇
slave,"n. 奴隶；从动装置
vi. 苦干；拼命工作",待补充,待补充,高考英语词汇
slavery,n. 奴役；奴隶制度；奴隶身份,待补充,待补充,高考英语词汇
sleep,"n. 睡眠
vi. 睡，睡觉",待补充,待补充,高考英语词汇
sleepy,adj. 欲睡的；困乏的；不活跃的,待补充,待补充,高考英语词汇
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破",待补充,待补充,高考英语词汇
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入",待补充,待补充,高考英语词汇
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢",待补充,待补充,高考英语词汇
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细",待补充,待补充,高考英语词汇
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退",待补充,待补充,高考英语词汇
slippery,adj. 滑的；狡猾的；不稳定的,待补充,待补充,高考英语词汇
slope,"n. 斜坡；倾斜；斜率；扛枪姿势
vt. 倾斜；使倾斜；扛
vi. 倾斜；逃走",待补充,待补充,高考英语词汇
slow,"adj. 慢的；减速的；迟钝的
vt. 放慢；阻碍
vi. 变慢；变萧条
adv. 慢慢地；迟缓地",待补充,待补充,高考英语词汇
small,"n. 小件物品；矮小的人
adj. 少的，小的；微弱的；几乎没有的；不重要的；幼小的
adv. 小小地；卑鄙地",待补充,待补充,高考英语词汇
smart,adj. 聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的,待补充,待补充,高考英语词汇
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎",待补充,待补充,高考英语词汇
smell,"n. 气味，嗅觉；臭味
vt. 嗅，闻；察觉到；发出…的气味
vi. 嗅，闻；有…气味",待补充,待补充,高考英语词汇
smile,"n. 微笑；笑容；喜色
vt. 微笑着表示
vi. 微笑",待补充,待补充,高考英语词汇
smog,n. 烟雾,待补充,待补充,高考英语词汇
smoke,"n. 烟；抽烟；无常的事物
vt. 吸烟；抽
vi. 冒烟，吸烟；抽烟；弥漫",待补充,待补充,高考英语词汇
smoking,"n. 抽烟；冒气
v. 吸烟；冒烟（smoke的现在分词）
adj. 准许吸烟的
adv. 冒着烟",待补充,待补充,高考英语词汇
smoky,adj. 冒烟的；烟熏味的；熏着的；呛人的；烟状的,待补充,待补充,高考英语词汇
smooth,"n. 平滑部分；一块平地
adj. 顺利的；光滑的；平稳的
vt. 使光滑；消除（障碍等）；使优雅；缓和
adv. 光滑地；平稳地；流畅地
vi. 变平静；变平滑",待补充,待补充,高考英语词汇
