正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
bamboo,"n. 竹，竹子
adj. 竹制的；土著居民的
vt. 为…装上篾条",待补充,待补充,高考英语词汇
ban,"n. 禁令，禁忌
vt. 禁止，取缔",待补充,待补充,高考英语词汇
banana,n. 香蕉；喜剧演员；大鹰钩鼻,待补充,待补充,高考英语词汇
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边",待补充,待补充,高考英语词汇
bandage,"n. 绷带
vt. 用绷带包扎",待补充,待补充,高考英语词汇
band-aid,"n. 创可贴
adj. 补缀的",待补充,待补充,高考英语词汇
bank,"n. 银行；岸；浅滩；储库
vt. 将…存入银行；倾斜转弯
vi. 堆积；倾斜转弯",待补充,待补充,高考英语词汇
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦",待补充,待补充,高考英语词汇
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉",待补充,待补充,高考英语词汇
barber,"n. 理发师
vt. 为…理发；修整
vi. 当理发师",待补充,待补充,高考英语词汇
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸",待补充,待补充,高考英语词汇
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地,待补充,待补充,高考英语词汇
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖",待补充,待补充,高考英语词汇
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮",待补充,待补充,高考英语词汇
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏",待补充,待补充,高考英语词汇
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础",待补充,待补充,高考英语词汇
baseball,n. 棒球；棒球运动,待补充,待补充,高考英语词汇
basement,n. 地下室；地窖,待补充,待补充,高考英语词汇
basic,"n. 基础；要素
adj. 基本的；基础的",待补充,待补充,高考英语词汇
basin,n. 水池；流域；盆地；盆,待补充,待补充,高考英语词汇
basis,n. 基础；底部；主要成分；基本原则或原理,待补充,待补充,高考英语词汇
basket,"n. 篮子；（篮球比赛的）得分；一篮之量；篮筐
vt. 装入篮",待补充,待补充,高考英语词汇
basketball,n. 篮球；篮球运动,待补充,待补充,高考英语词汇
bat,"n. 蝙蝠；球棒；球拍；批处理文件的扩展名
vt. 用球棒击球；击球率达…
vi. 轮到击球；用球棒击球",待补充,待补充,高考英语词汇
bath,"n. 沐浴；浴室；浴盆
vt. 洗澡
vi. 洗澡",待补充,待补充,高考英语词汇
bathe,"n. 洗澡；游泳
vt. 沐浴；用水洗
vi. 洗澡；沐浴",待补充,待补充,高考英语词汇
bathing,"n. 沐浴；游泳；洗海水澡
v. 洗浴（bath的现在进行式）",待补充,待补充,高考英语词汇
bathroom,n. 浴室；厕所；盥洗室,待补充,待补充,高考英语词汇
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位",待补充,待补充,高考英语词汇
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战",待补充,待补充,高考英语词汇
