正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
bridge,"n. 桥；桥牌；桥接器；船桥
vt. 架桥；渡过",待补充,待补充,高考英语词汇
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要",待补充,待补充,高考英语词汇
brigade,"n. 旅；大部队；队列
vt. 把…编成旅；把…编成队",待补充,待补充,高考英语词汇
bright,"n. 车头灯光
adj. 明亮的，鲜明的；聪明的；愉快的
adv. 明亮地；光明地；欢快地",待补充,待补充,高考英语词汇
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的,待补充,待补充,高考英语词汇
bring,vt. 带来；促使；引起；使某人处于某种情况或境地,待补充,待补充,高考英语词汇
broad,"n. 宽阔部分
adj. 宽的，辽阔的；显著的；大概的
adv. 宽阔地",待补充,待补充,高考英语词汇
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放",待补充,待补充,高考英语词汇
brother,"n. 兄弟；同事；战友
int. 我的老兄！",待补充,待补充,高考英语词汇
brow,n. 眉，眉毛；额；表情,待补充,待补充,高考英语词汇
brown,"n. 褐色，棕色
adj. 棕色的，褐色的；太阳晒黑的
vt. 使变成褐色
vi. 变成褐色",待补充,待补充,高考英语词汇
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品",待补充,待补充,高考英语词汇
brunch,n. 早午餐,待补充,待补充,高考英语词汇
brush,"n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴
vi. 刷；擦过；掠过；（经过时）轻触
vt. 刷；画；",待补充,待补充,高考英语词汇
B.S.,"理学士
 科学学士",待补充,待补充,高考英语词汇
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽,待补充,待补充,高考英语词汇
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声",待补充,待补充,高考英语词汇
bucket,"n. 桶，水桶；铲斗；一桶的量
v. 倾盆而下；颠簸着行进",待补充,待补充,高考英语词汇
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算",待补充,待补充,高考英语词汇
build,"n. 构造；体形；体格
vi. 建筑；建造
vt. 建立；建筑",待补充,待补充,高考英语词汇
building,"n. 建筑；建筑物
v. 建筑；建立；增加（build的ing形式）",待补充,待补充,高考英语词汇
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状",待补充,待补充,高考英语词汇
bull,"n. 公牛；看好股市者；粗壮如牛的人；胡说八道；印玺
adj. 大型的；公牛似的；雄性的
vt. 企图抬高证券价格；吓唬；强力实现
vi. 价格上涨；走运；猛推；吹牛",待补充,待补充,高考英语词汇
bullet,"n. 子弹；只选某党全部候选人的投票；豆子
vi. 射出；迅速行进",待补充,待补充,高考英语词汇
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地",待补充,待补充,高考英语词汇
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串",待补充,待补充,高考英语词汇
bundle,"n. 束；捆
vt. 捆
vi. 匆忙离开",待补充,待补充,高考英语词汇
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于",待补充,待补充,高考英语词汇
burn,"n. 灼伤，烧伤；烙印
vt. 燃烧；烧毁，灼伤；激起…的愤怒
vi. 燃烧；烧毁；发热",待补充,待补充,高考英语词汇
burst,"n. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
vi. 爆发，突发；爆炸",待补充,待补充,高考英语词汇
