正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
genius,n. 天才，天赋；精神,待补充,待补充,高考英语词汇
gentle,"n. 蛆，饵
adj. 温和的；文雅的
vt. 使温和，使驯服",待补充,待补充,高考英语词汇
gentleman,n. 先生；绅士；有身份的人,待补充,待补充,高考英语词汇
geography,n. 地理；地形,待补充,待补充,高考英语词汇
geology,n. 地质学；地质情况,待补充,待补充,高考英语词汇
germ,"n.  胚芽，萌芽；细菌
vi. 萌芽",待补充,待补充,高考英语词汇
gesture,"n. 姿态；手势
vt. 用动作表示
vi. 作手势；用动作示意",待补充,待补充,高考英语词汇
get,"n. 生殖；幼兽
vi. 成为；变得；到达
vt. 使得；获得；受到；变成",待补充,待补充,高考英语词汇
ghost,"n. 鬼，幽灵
vt. 作祟于；替…捉刀；为人代笔
vi. 替人代笔",待补充,待补充,高考英语词汇
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的",待补充,待补充,高考英语词汇
gift,"n. 礼物；天赋；赠品
vt. 赋予；向…赠送",待补充,待补充,高考英语词汇
girl,"n. 女孩；姑娘，未婚女子；女职员，女演员；（男人的）女朋友
n. （捷）吉尔",待补充,待补充,高考英语词汇
give,"n. 弹性；弯曲；伸展性
vi. 捐赠；面向；有弹性；气候转暖
vt. 给；产生；让步；举办；授予",待补充,待补充,高考英语词汇
glad,"adj. 高兴的；乐意的；令人高兴的；灿烂美丽的
vt. 使高兴",待补充,待补充,高考英语词汇
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见",待补充,待补充,高考英语词汇
glass,"n. 玻璃；玻璃制品；镜子
vt. 反映；给某物加玻璃
vi. 成玻璃状",待补充,待补充,高考英语词汇
glasses,"n.  眼镜；玻璃（glass的复数形式）；双筒望远镜
v. 把…装入玻璃容器内；给…装上玻璃（glass的第三人称单数形式）",待补充,待补充,高考英语词汇
global,adj. 全球的；总体的；球形的,待补充,待补充,高考英语词汇
globe,"n. 地球；地球仪；球体
vt. 使…成球形
vi. 成球状",待补充,待补充,高考英语词汇
glorious,adj. 光荣的；辉煌的；极好的,待补充,待补充,高考英语词汇
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜",待补充,待补充,高考英语词汇
glove,"n. 手套
vt. 给…戴手套",待补充,待补充,高考英语词汇
glue,"n. 胶；各种胶合物
vt. 粘合；似胶般固着于",待补充,待补充,高考英语词汇
go,"n. 去；进行；尝试
vi. 走；达到；运转；趋于
vt. 忍受；出产；以…打赌",待补充,待补充,高考英语词汇
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分",待补充,待补充,高考英语词汇
goat,n. 山羊；替罪羊（美俚）；色鬼（美俚）,待补充,待补充,高考英语词汇
god,待补充释义,待补充,待补充,高考英语词汇
goddess,n. 女神，受崇拜的女性,待补充,待补充,高考英语词汇
gold,"n. 金，黄金；金色；金币
adj. 金的，金制的；金色的",待补充,待补充,高考英语词汇
golden,adj. 金色的，黄金般的；珍贵的；金制的,待补充,待补充,高考英语词汇
